id,galaxy,position,system,planet_id
1,1,0,1,
2,1,1,1,
3,1,2,1,
4,1,3,1,
5,1,4,1,
6,1,5,1,
7,1,6,1,
8,1,7,1,
9,1,8,1,
10,1,9,1,
11,1,10,1,
12,1,0,2,
13,1,1,2,
14,1,2,2,
15,1,3,2,
16,1,4,2,
17,1,5,2,
18,1,6,2,
19,1,7,2,
20,1,8,2,
21,1,9,2,
22,1,10,2,
23,1,0,3,
24,1,1,3,
25,1,2,3,
26,1,3,3,
27,1,4,3,
28,1,5,3,
29,1,6,3,
30,1,7,3,
31,1,8,3,
32,1,9,3,
33,1,10,3,
34,1,0,4,
35,1,1,4,
36,1,2,4,
37,1,3,4,
38,1,4,4,
39,1,5,4,
40,1,6,4,
41,1,7,4,
42,1,8,4,
43,1,9,4,
44,1,10,4,
45,1,0,5,
46,1,1,5,
47,1,2,5,
48,1,3,5,
49,1,4,5,
50,1,5,5,
51,1,6,5,
52,1,7,5,
53,1,8,5,
54,1,9,5,
55,1,10,5,
56,1,0,6,
57,1,1,6,
58,1,2,6,
59,1,3,6,
60,1,4,6,
61,1,5,6,
62,1,6,6,
63,1,7,6,
64,1,8,6,
65,1,9,6,
66,1,10,6,
67,1,0,7,
68,1,1,7,
69,1,2,7,
70,1,3,7,
71,1,4,7,
72,1,5,7,
73,1,6,7,
74,1,7,7,
75,1,8,7,
76,1,9,7,
77,1,10,7,
78,1,0,8,
79,1,1,8,
80,1,2,8,
81,1,3,8,
82,1,4,8,
83,1,5,8,
84,1,6,8,
85,1,7,8,
86,1,8,8,
87,1,9,8,
88,1,10,8,
89,1,0,9,
90,1,1,9,
91,1,2,9,
92,1,3,9,
93,1,4,9,
94,1,5,9,
95,1,6,9,
96,1,7,9,
97,1,8,9,
98,1,9,9,
99,1,10,9,
100,1,0,10,
101,1,1,10,
102,1,2,10,
103,1,3,10,
104,1,4,10,
105,1,5,10,
106,1,6,10,
107,1,7,10,
108,1,8,10,
109,1,9,10,
110,1,10,10,
111,1,0,11,
112,1,1,11,
113,1,2,11,
114,1,3,11,
115,1,4,11,
116,1,5,11,
117,1,6,11,
118,1,7,11,
119,1,8,11,
120,1,9,11,
121,1,10,11,
122,1,0,12,
123,1,1,12,
124,1,2,12,
125,1,3,12,
126,1,4,12,
127,1,5,12,
128,1,6,12,
129,1,7,12,
130,1,8,12,
131,1,9,12,
132,1,10,12,
133,1,0,13,
134,1,1,13,
135,1,2,13,
136,1,3,13,
137,1,4,13,
138,1,5,13,
139,1,6,13,
140,1,7,13,
141,1,8,13,
142,1,9,13,
143,1,10,13,
144,1,0,14,
145,1,1,14,
146,1,2,14,
147,1,3,14,
148,1,4,14,
149,1,5,14,
150,1,6,14,
151,1,7,14,
152,1,8,14,
153,1,9,14,
154,1,10,14,
155,1,0,15,
156,1,1,15,
157,1,2,15,
158,1,3,15,
159,1,4,15,
160,1,5,15,
161,1,6,15,
162,1,7,15,
163,1,8,15,
164,1,9,15,
165,1,10,15,
166,1,0,16,
167,1,1,16,
168,1,2,16,
169,1,3,16,
170,1,4,16,
171,1,5,16,
172,1,6,16,
173,1,7,16,
174,1,8,16,
175,1,9,16,
176,1,10,16,
177,1,0,17,
178,1,1,17,
179,1,2,17,
180,1,3,17,
181,1,4,17,
182,1,5,17,
183,1,6,17,
184,1,7,17,
185,1,8,17,
186,1,9,17,
187,1,10,17,
188,1,0,18,
189,1,1,18,
190,1,2,18,
191,1,3,18,
192,1,4,18,
193,1,5,18,
194,1,6,18,
195,1,7,18,
196,1,8,18,
197,1,9,18,
198,1,10,18,
199,1,0,19,
200,1,1,19,
201,1,2,19,
202,1,3,19,
203,1,4,19,
204,1,5,19,
205,1,6,19,
206,1,7,19,
207,1,8,19,
208,1,9,19,
209,1,10,19,
210,1,0,20,
211,1,1,20,
212,1,2,20,
213,1,3,20,
214,1,4,20,
215,1,5,20,
216,1,6,20,
217,1,7,20,
218,1,8,20,
219,1,9,20,
220,1,10,20,
221,1,0,21,
222,1,1,21,
223,1,2,21,
224,1,3,21,
225,1,4,21,
226,1,5,21,
227,1,6,21,
228,1,7,21,
229,1,8,21,
230,1,9,21,
231,1,10,21,
232,1,0,22,
233,1,1,22,
234,1,2,22,
235,1,3,22,
236,1,4,22,
237,1,5,22,
238,1,6,22,
239,1,7,22,
240,1,8,22,
241,1,9,22,
242,1,10,22,
243,1,0,23,
244,1,1,23,
245,1,2,23,
246,1,3,23,
247,1,4,23,
248,1,5,23,
249,1,6,23,
250,1,7,23,
251,1,8,23,
252,1,9,23,
253,1,10,23,
254,1,0,24,
255,1,1,24,
256,1,2,24,
257,1,3,24,
258,1,4,24,
259,1,5,24,
260,1,6,24,
261,1,7,24,
262,1,8,24,
263,1,9,24,
264,1,10,24,
265,1,0,25,
266,1,1,25,
267,1,2,25,
268,1,3,25,
269,1,4,25,
270,1,5,25,
271,1,6,25,
272,1,7,25,
273,1,8,25,
274,1,9,25,
275,1,10,25,
276,1,0,26,
277,1,1,26,
278,1,2,26,
279,1,3,26,
280,1,4,26,
281,1,5,26,
282,1,6,26,
283,1,7,26,
284,1,8,26,
285,1,9,26,
286,1,10,26,
287,1,0,27,
288,1,1,27,
289,1,2,27,
290,1,3,27,
291,1,4,27,
292,1,5,27,
293,1,6,27,
294,1,7,27,
295,1,8,27,
296,1,9,27,
297,1,10,27,
298,1,0,28,
299,1,1,28,
300,1,2,28,
301,1,3,28,
302,1,4,28,
303,1,5,28,
304,1,6,28,
305,1,7,28,
306,1,8,28,
307,1,9,28,
308,1,10,28,
309,1,0,29,
310,1,1,29,
311,1,2,29,
312,1,3,29,
313,1,4,29,
314,1,5,29,
315,1,6,29,
316,1,7,29,
317,1,8,29,
318,1,9,29,
319,1,10,29,
320,1,0,30,
321,1,1,30,
322,1,2,30,
323,1,3,30,
324,1,4,30,
325,1,5,30,
326,1,6,30,
327,1,7,30,
328,1,8,30,
329,1,9,30,
330,1,10,30,
331,1,0,31,
332,1,1,31,
333,1,2,31,
334,1,3,31,
335,1,4,31,
336,1,5,31,
337,1,6,31,
338,1,7,31,
339,1,8,31,
340,1,9,31,
341,1,10,31,
342,1,0,32,
343,1,1,32,
344,1,2,32,
345,1,3,32,
346,1,4,32,
347,1,5,32,
348,1,6,32,
349,1,7,32,
350,1,8,32,
351,1,9,32,
352,1,10,32,
353,1,0,33,
354,1,1,33,
355,1,2,33,
356,1,3,33,
357,1,4,33,
358,1,5,33,
359,1,6,33,
360,1,7,33,
361,1,8,33,
362,1,9,33,
363,1,10,33,
364,1,0,34,
365,1,1,34,
366,1,2,34,
367,1,3,34,
368,1,4,34,
369,1,5,34,
370,1,6,34,
371,1,7,34,
372,1,8,34,
373,1,9,34,
374,1,10,34,
375,1,0,35,
376,1,1,35,
377,1,2,35,
378,1,3,35,
379,1,4,35,
380,1,5,35,
381,1,6,35,
382,1,7,35,
383,1,8,35,
384,1,9,35,
385,1,10,35,
386,1,0,36,
387,1,1,36,
388,1,2,36,
389,1,3,36,
390,1,4,36,
391,1,5,36,
392,1,6,36,
393,1,7,36,
394,1,8,36,
395,1,9,36,
396,1,10,36,
397,1,0,37,
398,1,1,37,
399,1,2,37,
400,1,3,37,
401,1,4,37,
402,1,5,37,
403,1,6,37,
404,1,7,37,
405,1,8,37,
406,1,9,37,
407,1,10,37,
408,1,0,38,
409,1,1,38,
410,1,2,38,
411,1,3,38,
412,1,4,38,
413,1,5,38,
414,1,6,38,
415,1,7,38,
416,1,8,38,
417,1,9,38,
418,1,10,38,
419,1,0,39,
420,1,1,39,
421,1,2,39,
422,1,3,39,
423,1,4,39,
424,1,5,39,
425,1,6,39,
426,1,7,39,
427,1,8,39,
428,1,9,39,
429,1,10,39,
430,1,0,40,
431,1,1,40,
432,1,2,40,
433,1,3,40,
434,1,4,40,
435,1,5,40,
436,1,6,40,
437,1,7,40,
438,1,8,40,
439,1,9,40,
440,1,10,40,
441,1,0,41,
442,1,1,41,
443,1,2,41,
444,1,3,41,
445,1,4,41,
446,1,5,41,
447,1,6,41,
448,1,7,41,
449,1,8,41,
450,1,9,41,
451,1,10,41,
452,1,0,42,
453,1,1,42,
454,1,2,42,
455,1,3,42,
456,1,4,42,
457,1,5,42,
458,1,6,42,
459,1,7,42,
460,1,8,42,
461,1,9,42,
462,1,10,42,
463,1,0,43,
464,1,1,43,
465,1,2,43,
466,1,3,43,
467,1,4,43,
468,1,5,43,
469,1,6,43,
470,1,7,43,
471,1,8,43,
472,1,9,43,
473,1,10,43,
474,1,0,44,
475,1,1,44,
476,1,2,44,
477,1,3,44,
478,1,4,44,
479,1,5,44,
480,1,6,44,
481,1,7,44,
482,1,8,44,
483,1,9,44,
484,1,10,44,
485,1,0,45,
486,1,1,45,
487,1,2,45,
488,1,3,45,
489,1,4,45,
490,1,5,45,
491,1,6,45,
492,1,7,45,
493,1,8,45,
494,1,9,45,
495,1,10,45,
496,1,0,46,
497,1,1,46,
498,1,2,46,
499,1,3,46,
500,1,4,46,
501,1,5,46,
502,1,6,46,
503,1,7,46,
504,1,8,46,
505,1,9,46,
506,1,10,46,
507,1,0,47,
508,1,1,47,
509,1,2,47,
510,1,3,47,
511,1,4,47,
512,1,5,47,
513,1,6,47,
514,1,7,47,
515,1,8,47,
516,1,9,47,
517,1,10,47,
518,1,0,48,
519,1,1,48,
520,1,2,48,
521,1,3,48,
522,1,4,48,
523,1,5,48,
524,1,6,48,
525,1,7,48,
526,1,8,48,
527,1,9,48,
